Stop Cons.;distance;Total freight cost EUR;Total gross kg;Volume m3;Collection;Disp. dt.;Csee;City;Posta Code;CntryD;Type of transport;Forwarder;Incoterms
FAŁSZ;9983;156,61;40;12;DC Trosa;2021-01-25;AB Singapore Pte Ltd;SINGAPORE;498801;SG;air;DHL;DAP
FAŁSZ;9983;535,00;14,7;21;DC Trosa;2021-01-21;AB Singapore Pte Ltd;SINGAPORE;408934;SG;air;Geodis;DAP
FAŁSZ;9983;423,48;99;341;DC Trosa;2021-01-21;AB Singapore Pte Ltd;Singapore;408934;SG;air;DHL;DAP
FAŁSZ;9983;63,46;2,2;34;DC Trosa;2021-01-19;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;164,94;44;324;DC Trosa;2021-01-19;AB Singapore Pte Ltd;SINGAPORE;627608;SG;air;DHL;DAP
FAŁSZ;9983;67,10;6,265;21;DC Trosa;2021-01-15;AB Singapore Pte Ltd;Singapore;629043;SG;air;DHL;DAP
FAŁSZ;9983;30,47;3,3;34;DC Trosa;2021-01-14;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;19,04;0,13;1,14;DC Trosa;2021-01-14;AB Singapore Pte Ltd;Singapore;629043;SG;air;DHL;DAP
FAŁSZ;9983;48,60;7,25;1;DC Trosa;2021-01-08;AB Singapore Pte Ltd;SINGAPORE;408934;SG;air;DHL;DAP
FAŁSZ;9983;21,41;1,1;1,14;DC Trosa;2021-01-07;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;72,67;13,31;43;DC Trosa;2021-01-05;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;23,57;0,82;12;DC Trosa;2021-01-05;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;19,04;0,36;1,14;DC Trosa;2020-12-30;AB Singapore Pte Ltd;Singapore;629043;SG;air;DHL;DAP
FAŁSZ;9983;81,67;15,6;32;DC Trosa;2020-12-29;AB Singapore Pte Ltd;Singapore;629043;SG;air;DHL;DAP
FAŁSZ;9983;50,76;7,55;śś;DC Trosa;2020-12-29;AB Singapore Pte Ltd;Singapore;629043;SG;air;DHL;DAP
FAŁSZ;9983;48,60;7,26;43;DC Trosa;2020-12-18;AB Singapore Pte Ltd;SINGAPORE;627870;SG;air;DHL;DAP
FAŁSZ;9983;19,04;0,17;1,14;DC Trosa;2020-12-16;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
FAŁSZ;9983;65,39;11,34;33;DC Trosa;2020-12-15;AB Singapore Pte Ltd;SINGAPORE;629043;SG;air;DHL;DAP
